doi,test_id,test_name,N,test_p_value,factor,effectsize_id,effectsize_measure,effectsize_value,CI_upper,CI_lower,CI_type,test_name_correct,ES_correct,ES_name_correct,p_vals_correct,Ns_correct,Cis correct,fully_correct,added_info,added_undectably_wrong_info,missing,double reported,format_error,problem_reason
10.1145/3290605.3300252,1,correlation,53,<.05,,1,r,.31,NA,NA,,1,,,,,,1,,,,1,,double report in paper
10.1145/3290605.3300252,2,correlation,53,<.05,,1,r,.30,NA,NA,,1,,,,,,1,,,,1,,double report in paper
10.1145/3290605.3300252,3,correlation,53,<.05,,1,r,.46,NA,NA,,1,,,,,,1,,,,1,,double report in paper
10.1145/3290605.3300252,4,correlation,53,,,1,r,0.23,NA,NA,,1,,,,,,1,,,,,,
10.1145/3290605.3300252,5,correlation,53,,,1,r,0.23,NA,NA,,1,,,,,,1,,,,,,
10.1145/3290605.3300252,6,correlation,53,,,1,r,0.23,NA,NA,,1,,,,,,1,,,,,,
10.1145/3290605.3300252,7,multiple regression,53,< 05,,1,r^2,.22,NA,NA,,1,1,,,,,1,,,,,,
10.1145/3290605.3300252,8,multiple regression,53,,,1,r ^2 ,.10,NA,NA,,1,,,,,,,,,1,,,no p-value close
10.1145/3290605.3300252,9,multiple regression,53,,,1,r^2,.05,NA,NA,,1,,,,,,,,,1,,,no p-value close
10.1145/3290605.3300252,10,single-factor repeated measures ANOVA,53,<.01,,1,,,NA,NA,,1,1,,,,,1,,,,,,
10.1145/3290605.3300252,11,paired t-test,53,<.01,,1,d,805,NA,NA,,1,1,,,,,1,,,,,,
10.1145/3290605.3300252,12,paired t-test,53,<0.01,,1,d,1.23,NA,NA,,1,1,,,,,1,,,,,,
10.1145/3290605.3300252,13,paired t-test,15,.06,,1,d,0.66,NA,NA,,1,1,,,,,1,,,,,,
10.1145/3290605.3300252,14,paired t-test,53,>0.05,,1,,,NA,NA,,1,1,,,,,1,,,,,,
10.1145/3290605.3300252,15,paired t-test,53,>0.05,,1,,,NA,NA,,1,1,,,,,1,,,,,,
10.1145/3290605.3300316,1,independent samples t-test,106,<0.001,,1,,,NA,NA,,1,,,,,,,1,,,,,mean_difference is not standardized
10.1145/3290605.3300316,2,2 x 2 ANOVA,106,,,1,,,NA,NA,,1,,,,,,,,,,,1,all factors p-values in one string
10.1145/3290605.3300316,2,2 x 2 ANOVA,106,< 0.01,main effect,1,,,NA,NA,,1,,,,,,,,,,,1,all factors p-values in one string
10.1145/3290605.3300316,2,2 x 2 ANOVA,106,53,main effect,1,,,NA,NA,,1,,,,,,,,,,,1,all factors p-values in one string
10.1145/3290605.3300316,2,2 x 2 ANOVA,106,< 0.001,interaction effect,1,,,NA,NA,,1,,,,,,,,,,,1,all factors p-values in one string
10.1145/3290605.3300316,3,independent samples t-test,54,< 0.001,,1,,,NA,NA,,1,,,,,,,1,,,,,mean_difference is not standardized
10.1145/3290605.3300316,4,independent samples t-test,52,0.63,,1,,,NA,NA,,1,,,,,,,1,,,,,mean_difference is not standardized
10.1145/3290605.3300316,5,2 x 2 ANOVA,106,,,1,,,NA,NA,,1,,,,,,,1,,,,1,
10.1145/3290605.3300316,5,2 x 2 ANOVA,106,174,main effect,1,,,NA,NA,,1,,,,,,,1,,,,1,
10.1145/3290605.3300316,5,2 x 2 ANOVA,106,256,main effect,1,,,NA,NA,,1,,,,,,,1,,,,1,
10.1145/3290605.3300316,5,2 x 2 ANOVA,106,0.32,interaction effect,1,,,NA,NA,,1,,,,,,,1,,,,1,
10.1145/3290605.3300316,6,factorial ANOVA,106,< 0.01,,1,,,NA,NA,,1,,,,,,,1,,,,1,
10.1145/3290605.3300316,6,factorial ANOVA,106,<0.01,main effect,1,,,NA,NA,,1,,,,,,,1,,,,1,
10.1145/3290605.3300316,6,factorial ANOVA,106,0.17,main effect,1,,,NA,NA,,1,,,,,,,1,,,,1,
10.1145/3290605.3300316,6,factorial ANOVA,106,136,interaction effect,1,,,NA,NA,,1,,,,,,,1,,,,1,
10.1145/3290605.3300316,,,,,,,,,,,,,,,,,,,3 tests added (descriptive stats),,,,,
10.1145/3290605.3300405,1,paired t-test,11,0.13,,1,,,NA,NA,,1,,,,,,1,,,,,,
10.1145/3290605.3300405,2,paired t-test,11,0.08,,1,,,NA,NA,,1,,,,,,1,,,,,,
10.1145/3290605.3300405,3,paired t-test,11,< 0.001,,1,,,NA,NA,,1,,,,,,1,,,,,,
10.1145/3290605.3300405,4,paired t-test,11,0.65,,1,,,NA,NA,,1,,,,,,1,,,,,,
10.1145/3290605.3300405,5,paired t-test,11,0.02,,1,,,NA,NA,,1,,,,,,1,,,,,,
10.1145/3290605.3300405,6,paired t-test,11,0.01,,1,,,NA,NA,,1,,,,,,1,,,,,,
10.1145/3290605.3300405,7,paired t-test,11,0.02,,1,,,NA,NA,,1,,,,,,1,,,,,,
10.1145/3290605.3300405,8,Pearson's product-moment correlation,11,0.04,,1,cor,2.47,NA,NA,,1,1,,,,,1,,,,,,
10.1145/3290605.3300405,9,paired t-test,11,0.03,,1,Cohen's d,0.57,NA,NA,,1,1,,,,,1,,,,,,
